B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2885.03A	0.14787601516229	0	0.058875471769689	0.175403086646989	0	0.19697592262542	0	0	0.00593498376544984	0	0.135028352490095	0	0.045962005878685	0	0	0.0067877546281169	0	0	0.165251333125325	0	0.0619050739079407	0	0.023	0.215165135326519	1.00955218351875
TCGA.AB.2876.03A	0	0.0605990493894189	0	0.0488638780990323	0.00920050067444036	0.0773900770313987	0	0	0.012173336348468	0	0.0508016172125478	0	0.0945371850202312	0	0.00158269561369238	0.0384089831938528	0	0	0.448233175960868	0	0.151521947195215	0.00668755426083482	0.00800000000000001	0.311769435947256	0.969552650860602
TCGA.AB.2999.03B	0.0467428743802019	0.0124854601831388	0.0286890863203874	0.0639149748212835	0	0.182154278163792	0	0	0.00743187833319669	0	0.0577995935242536	0	0.0247579442961959	0	0	0	0	0	0.475945529767568	0.0134884318446039	0.0865899483653781	0	0.00900000000000001	0.295746675318934	0.984492029933534
TCGA.AB.2982.03B	0.224656304513441	0	0.121001615852885	0.152664004149878	0.034069302513694	0.0520227660968212	0.0410634135857278	0.0131868576648352	0	0	0.049605721503148	0	0.0796270950904301	0	0	0	0	0.0144613802261584	0.143755802017641	0.0122819420382415	0.0616037947470996	0	0.074	0.134196446846293	1.04915284974811
TCGA.AB.2815.03A	0.0461756802274243	0	0.0056629585870727	0	0.013471120977768	0.0113754296869588	0.00684662720954904	0	0	0	0.0325919072884019	0	0.695372164455488	0	0	0.0904844295454359	0	0	0.0772318258095104	0	0.0207878562123907	0	0.001	0.401022288621197	0.937330948665918
TCGA.AB.2810.03A	0.0180476749052901	0.00958635682450117	0.0272817956275749	0.0798253593059148	0	0.0591847203843976	0	0	0	0	0.10373493663689	0	0.174442536386519	0.00404232649813637	0	0	0	0	0.278711867592869	0	0.215210066117409	0.0299323597204996	0.00700000000000001	0.323522447390759	0.954424000731472
TCGA.AB.2941.03A	0.127363969684114	0	0	0	0.0438306883250679	0.184269072118883	0.00205068407204311	0	0	0	0.0846759462477245	0	0.14764766903079	0.0053430249919648	0	0	0	0.00112700209914438	0.334075855650181	0.00801616829602642	0.0399769955128401	0.0216229239712206	0.019	0.22495740350564	0.999644090832115
TCGA.AB.2896.03B	0.063516425799275	0	0	0.0769695153508129	0	0.0933438466981499	0	0	0.0065201842283915	0	0.042081254876803	0	0.231034575667706	0	0	0.0570483838651907	0	0	0.1917593132577	0	0.237726500255971	0	0.002	0.357941930613211	0.936061398271672
TCGA.AB.3009.03A	0.273617044271515	0	0.0761737788282056	0.0407385134127737	0.0684508367691805	0.129402286673632	0	0	0.00238087831987543	0	0.077087177069713	0	0.171215936444613	0	0	0.047249235445132	0	0.00348994777570013	0.0786299292132938	0	0.031564435776366	0	0.012	0.282609466001642	0.977496287965903
TCGA.AB.2859.03A	0.0356729499990024	0.0211934055336742	0.0595656317078544	0.180938772766582	0.0825757020184742	0.155701225622248	0	0	0.0712065584133441	0	0.163989543732305	0	0.127531265107822	0	0	0.00566648026803058	0	0.000382045419811098	0.00757416667236991	0	0.0880022527384825	0	0.074	0.134517160977305	1.05392691250081
